ope8_id,city,state,name,degrees_awarded_predominant,size,online_only,avg_net_price_pub,pell_grant_rate,retention_four_year_full_time,part_time_share,act_25th_pctl_cumulative,act_75th_pctl_cumulative,sat_average_all,sat_25th_pctl_math,sat_75th_pctl_math,sat_25th_pctl_reading,sat_75th_pctl_reading,sat_25th_pctl_writing,sat_75th_pctl_writing,race_ethn_white,race_ethn_black,race_ethn_hispanic,race_ethn_asian,race_ethn_two_or_more
354900,Brenham,TX,Blinn College,Predominantly associate's-degree granting,16664,0,11709,0.2558,NaN,0.4349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6416,0.1034,0.185,0.0234,0.0278
3026500,Garland,TX,Remington College-Dallas Campus,Predominantly certificate-degree granting,904,0,NaN,0.7348,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1847,0.2788,0.4569,0.0155,0.0066
2144800,Houston,TX,Vet Tech Institute of Houston,Predominantly associate's-degree granting,196,0,NaN,0.559,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4796,0.1122,0.3265,0.0357,0.0255
728700,Lake Jackson,TX,Brazosport College,Predominantly associate's-degree granting,3217,0,4048,0.1766,1,0.7062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5182,0.0768,0.3593,0.0096,0.0264
2100200,Farmers Branch,TX,Brookhaven College,Predominantly associate's-degree granting,10365,0,6881,0.2665,NaN,0.7967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.296,0.2017,0.3525,0.101,0.0086
356100,Lancaster,TX,Cedar Valley College,Predominantly certificate-degree granting,5833,0,6e3,0.4243,NaN,0.7607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1852,0.544,0.2098,0.0233,0.0101
400300,Killeen,TX,Central Texas College,Predominantly associate's-degree granting,16076,0,4375,0.3305,NaN,0.8312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3715,0.2479,0.1586,0.0313,0.0045
1293e3,Bryan,TX,Charles and Sues School of Hair Design,Predominantly certificate-degree granting,19,0,NaN,0.662,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7895,0,0.2105,0,0
355300,Cisco,TX,Cisco College,Predominantly certificate-degree granting,3496,0,7434,0.343,NaN,0.5538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5486,0.0629,0.2265,0.0112,0.0306
355400,Clarendon,TX,Clarendon College,Predominantly certificate-degree granting,1214,0,8527,0.4962,NaN,0.5255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6433,0.075,0.2216,0.0016,0.0041
355700,Austin,TX,Concordia University-Texas,Predominantly bachelor's-degree granting,1493,0,NaN,0.3924,0.4836,0.2518,20,25,1035,480,570,450,550,NaN,NaN,0.5017,0.1273,0.221,0.0261,0
2058600,Kerrville,TX,Conlee's College of Cosmetology,Predominantly certificate-degree granting,51,0,NaN,0.4706,NaN,0.3725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6078,0,0.3922,0,0
355800,Gainesville,TX,North Central Texas College,Predominantly associate's-degree granting,10141,0,5476,0.2711,NaN,0.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6497,0.0936,0.1837,0.0208,0.0291
1116100,Corpus Christi,TX,Texas A & M University-Corpus Christi,Predominantly bachelor's-degree granting,9137,0,13404,0.4177,0.5733,0.2083,17,23,960,450,540,420,520,400,500,0.4006,0.0522,0.4602,0.0217,0.0158
1248300,Carrollton,TX,Cosmetology Career Center LLC,Predominantly certificate-degree granting,215,0,NaN,0.3731,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5628,0.1256,0.2558,0.0465,0
2119200,Dallas,TX,Court Reporting Institute of Dallas,Predominantly associate's-degree granting,183,0,NaN,0.285,NaN,0.929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5956,0.1913,0.1585,0,0.0109
356e3,Dallas,TX,Dallas Baptist University,Predominantly bachelor's-degree granting,3375,0,NaN,0.3034,0.6973,0.2747,18,27,1078,476,648,472,656,NaN,NaN,0.6231,0.163,0.1241,0.019,0
694100,Dallas,TX,Dallas Christian College,Predominantly bachelor's-degree granting,316,0,NaN,0.4693,0.5833,0.2753,18,22,930,391,506,407,512,371,471,0.4905,0.2532,0.1835,0,0.0348
1076100,Dallas,TX,Dallas Institute of Funeral Service,Predominantly associate's-degree granting,114,0,NaN,0.8141,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4561,0.3158,0.2281,0,0
365100,Irving,TX,University of Dallas,Predominantly bachelor's-degree granting,1374,0,NaN,0.2153,0.7705,0.008,24,30,1216,540,650,550,680,530,660,0.6689,0.0146,0.1863,0.0437,0.0349
356300,Corpus Christi,TX,Del Mar College,Predominantly associate's-degree granting,10502,0,5167,0.3755,NaN,0.7098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2744,0.0311,0.6296,0.016,0.0252
2591100,San Antonio,TX,Career Point College,Predominantly certificate-degree granting,529,0,NaN,0.7384,0.6867,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3781,0.3025,0.3195,0,0
